location,latitude,longitude,location_id,country_id
"ELA-2, Guiana Space Centre, French Guiana, France",16.239121,-61.365446,81,78
"Site 32/1, Plesetsk Cosmodrome, Russia",60.0,100.0,82,183
"Site 107/1, Kapustin Yar, Russia",48.58175,45.74481,83,183
"Stargazer, Wallops Flight Facility, Virginia, USA",37.94074,-75.46742,84,238
"Site 41/1, Plesetsk Cosmodrome, Russia",60.0,100.0,85,183
"K-407 Submarine, Barents Sea Launch Area, Barents Sea",74.0,36.0,86,183
"Site 81/23, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,87,116
"Stargazer, Base Aerea de Gando, Gran Canaria",28.11654,-15.43898,88,203
"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",35.0,105.0,89,47
"Site 158, Plesetsk Cosmodrome, Russia",60.0,100.0,90,183
"SLC-3W, Vandenberg AFB, California, USA",34.66324,-118.190974,91,238
"Site 175/58, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,92,116
"NB-52B Carrier, Edwards AFB, California, USA",35.137696,-117.98221,93,238
"SLV LP, Satish Dhawan Space Centre, India",22.0,79.0,94,104
"NB-52B Carrier, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,95,238
"SLC-N, Tanegashima Space Center, Japan",35.68536,139.75309,96,113
"Site 131/29, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,97,116
"Site 45/2, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,98,116
"Site 132/2, Plesetsk Cosmodrome, Russia",60.0,100.0,99,183
"ELA-1, Guiana Space Centre, French Guiana, France",16.239257,-61.368589,100,78
"Site 90/19, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,101,116
"Site 110/37, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,102,116
"Site 86/1, Kapustin Yar, Russia",48.58175,45.74481,103,183
"SM Launch Tab, San Marco Launch Platform, Kenya",1.0,38.0,104,117
"Site 250, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,105,116
"LC-13, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903,106,238
"ELD, Guiana Space Centre, French Guiana, France",16.239121,-61.365446,107,78
"LC-576A1, Vandenberg AFB, California, USA",34.66324,-118.190974,108,238
"LA-5B, RAAF Woomera Range Complex, Australia",-25.0,135.0,109,14
"Site 161/35, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,110,116
"LC-576A2, Vandenberg AFB, California, USA",34.66324,-118.190974,111,238
"Santa Rita 2, San Marco Launch Platform, Kenya",1.0,38.0,112,117
"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",35.0,105.0,113,47
"Site 191/66, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,114,116
"Site 110/38, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,115,116
"LC-34, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903,116,238
"Site 41/15, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,117,116
"Site 162, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,118,116
"LC-12, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903,119,238
"LC-576B3, Vandenberg AFB, California, USA",34.66324,-118.190974,120,238
"Brigitte, Hammaguir, Algeria, France",47.797268,-3.497746,121,78
"LC-19, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903,122,238
"LC-14, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903,123,238
"SLC-20, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,124,238
"Mayak-2, Kapustin Yar, Russia",48.58175,45.74481,125,183
"SLC-5, Vandenberg AFB, California, USA",34.66324,-118.190974,126,238
"LA-3, Wallops Flight Facility, Virginia, USA",37.94074,-75.46742,127,238
"SLC-1E (75-3-5), Vandenberg AFB, California, USA",34.66324,-118.190974,128,238
"SLC-2E (75-1-1), Vandenberg AFB, California, USA",34.66324,-118.190974,129,238
"SLC-1W (75-3-4), Vandenberg AFB, California, USA",34.66324,-118.190974,130,238
"LC-18B, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,131,238
"LC-5, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903,132,238
"LC-18A, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,133,238
"LC-11, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903,134,238
"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",35.138238,-118.005406,135,238
"LC-26A, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,136,238
