Location,Latitude,Longitude
"Site 158, Plesetsk Cosmodrome, Russia",60.0,100.0
"SLC-3W, Vandenberg AFB, California, USA",34.66324,-118.190974
"Site 175/58, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"NB-52B Carrier, Edwards AFB, California, USA",35.137696,-117.98221
"SLV LP, Satish Dhawan Space Centre, India",22.0,79.0
"NB-52B Carrier, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
"SLC-N, Tanegashima Space Center, Japan",35.68536,139.75309
"Site 131/29, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"Site 45/2, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"Site 132/2, Plesetsk Cosmodrome, Russia",60.0,100.0
"ELA-1, Guiana Space Centre, French Guiana, France",16.239257,-61.368589
"Site 90/19, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"Site 110/37, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"Site 86/1, Kapustin Yar, Russia",48.58175,45.74481
"SM Launch Tab, San Marco Launch Platform, Kenya",1.0,38.0
"Site 250, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"LC-13, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903
"ELD, Guiana Space Centre, French Guiana, France",16.239121,-61.365446
"LC-576A1, Vandenberg AFB, California, USA",34.66324,-118.190974
"LA-5B, RAAF Woomera Range Complex, Australia",-25.0,135.0
"Site 161/35, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"LC-576A2, Vandenberg AFB, California, USA",34.66324,-118.190974
"Santa Rita 2, San Marco Launch Platform, Kenya",1.0,38.0
"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",35.0,105.0
"Site 191/66, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"Site 110/38, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"LC-34, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903
"Site 41/15, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"Site 162, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"LC-12, Cape Canaveral AFS, Florida, USA",28.403276,-80.59903
"LC-576B3, Vandenberg AFB, California, USA",34.66324,-118.190974
